Hello world
Kokkos::OpenMP::initialize WARNING: OMP_PROC_BIND environment variable not set
  In general, for best performance with OpenMP 4.0 or better set OMP_PROC_BIND=spread and OMP_PLACES=threads
  For best performance with OpenMP 3.1 set OMP_PROC_BIND=true
  For unit testing set OMP_PROC_BIND=false

MPI detected: For OpenMP binding to work as intended, MPI ranks must be bound to exclusive CPU sets.

Element calculation test with N = 0 Time: 0.00407099Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 1000 Time: 0.00455095Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 2000 Time: 0.00454885Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 3000 Time: 0.00453027Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 4000 Time: 0.00454961Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 5000 Time: 0.000142827Melement/s: 35 GFLOPS/s: 2 GB/s: 7
Element calculation test with N = 6000 Time: 3.9529e-05Melement/s: 151 GFLOPS/s: 9 GB/s: 30
Element calculation test with N = 7000 Time: 4.5788e-05Melement/s: 152 GFLOPS/s: 9 GB/s: 30
Element calculation test with N = 8000 Time: 4.9779e-05Melement/s: 160 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 9000 Time: 5.7055e-05Melement/s: 157 GFLOPS/s: 9 GB/s: 31
Element calculation test with N = 10000 Time: 6.2665e-05Melement/s: 159 GFLOPS/s: 10 GB/s: 31
Element calculation test with N = 11000 Time: 6.7491e-05Melement/s: 162 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 12000 Time: 7.4933e-05Melement/s: 160 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 13000 Time: 8.0558e-05Melement/s: 161 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 14000 Time: 9.2857e-05Melement/s: 150 GFLOPS/s: 9 GB/s: 30
Element calculation test with N = 15000 Time: 9.5577e-05Melement/s: 156 GFLOPS/s: 9 GB/s: 31
Element calculation test with N = 16000 Time: 9.838e-05Melement/s: 162 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 17000 Time: 0.000103139Melement/s: 164 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 18000 Time: 0.000203449Melement/s: 88 GFLOPS/s: 5 GB/s: 17
Element calculation test with N = 19000 Time: 0.00244923Melement/s: 7 GFLOPS/s: 0 GB/s: 1
Element calculation test with N = 20000 Time: 0.0045969Melement/s: 4 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 21000 Time: 0.00243153Melement/s: 8 GFLOPS/s: 0 GB/s: 1
Element calculation test with N = 22000 Time: 0.00242561Melement/s: 9 GFLOPS/s: 0 GB/s: 1
Element calculation test with N = 23000 Time: 0.000178742Melement/s: 128 GFLOPS/s: 8 GB/s: 25
Element calculation test with N = 24000 Time: 0.00018379Melement/s: 130 GFLOPS/s: 8 GB/s: 26
Element calculation test with N = 25000 Time: 0.000228702Melement/s: 109 GFLOPS/s: 6 GB/s: 21
Element calculation test with N = 26000 Time: 0.00024502Melement/s: 106 GFLOPS/s: 6 GB/s: 21
Element calculation test with N = 27000 Time: 0.000237034Melement/s: 113 GFLOPS/s: 7 GB/s: 22
Element calculation test with N = 28000 Time: 0.000223797Melement/s: 125 GFLOPS/s: 7 GB/s: 25
Element calculation test with N = 29000 Time: 0.000270905Melement/s: 107 GFLOPS/s: 6 GB/s: 21
Element calculation test with N = 30000 Time: 0.000269655Melement/s: 111 GFLOPS/s: 7 GB/s: 22
